FIGI: BBG004S687G6 | ticker: MSRS | name: Россети Московский регион
FIGI: BBG000TJ6F42 | ticker: MRKZ | name: Россети Северо-Запад
FIGI: BBG000K3STR7 | ticker: APTK | name: Аптечная сеть 36,6
FIGI: BBG005D1WCQ1 | ticker: QIWI | name: QIWI
FIGI: BBG004S68473 | ticker: IRAO | name: Интер РАО ЕЭС
FIGI: BBG00475K2X9 | ticker: HYDR | name: РусГидро
FIGI: BBG002BCQK67 | ticker: NSVZ | name: Наука-Связь
FIGI: BBG004S681B4 | ticker: NLMK | name: НЛМК
FIGI: BBG000TY1CD1 | ticker: BELU | name: Белуга ао
FIGI: BBG000RTHVK7 | ticker: GCHE | name: Группа Черкизово
FIGI: BBG000SR0YS4 | ticker: LNZLP | name: Лензолото - привилегированные акции
FIGI: BBG00QPYJ5H0 | ticker: TCSG | name: TCS Group
FIGI: BBG004S681M2 | ticker: SNGSP | name: Сургутнефтегаз - привилегированные акции
FIGI: BBG006L8G4H1 | ticker: YNDX | name: Яндекс
FIGI: BBG003LYCMB1 | ticker: SFIN | name: ЭсЭфАй
FIGI: BBG000QF1Q17 | ticker: FESH | name: ДВМП
FIGI: BBG004S68696 | ticker: RASP | name: Распадская
FIGI: BBG00475KKY8 | ticker: NVTK | name: НОВАТЭК
FIGI: BBG002YFXL29 | ticker: UNKL | name: ЮУНК
FIGI: BBG000GQSRR5 | ticker: NKNC | name: Нижнекамскнефтехим
FIGI: BBG000W325F7 | ticker: AQUA | name: ИНАРКТИКА
FIGI: BBG000BX7DH0 | ticker: VRSB | name: ТНС энерго Воронеж
FIGI: BBG0100R9963 | ticker: SGZH | name: Сегежа
FIGI: BBG000NLCCM3 | ticker: LSNGP | name: Ленэнерго - акции привилегированные
FIGI: BBG004731489 | ticker: GMKN | name: Норильский никель
FIGI: BBG004730JJ5 | ticker: MOEX | name: Московская Биржа
FIGI: BBG004S686W0 | ticker: UPRO | name: Юнипро
FIGI: BBG000VJMH65 | ticker: MRKS | name: МРСК Сибири
FIGI: BBG004Z2RGW8 | ticker: ROLO | name: Русолово
FIGI: BBG004S687W8 | ticker: MSNG | name: Мосэнерго
FIGI: BBG004S68614 | ticker: AFKS | name: АФК Система
FIGI: BBG0136BTL03 | ticker: SFTL | name: Noventiq ГДР
FIGI: BBG000R607Y3 | ticker: PLZL | name: Полюс
FIGI: BBG00Y91R9T3 | ticker: OZON | name: Ozon Holdings PLC
FIGI: BBG004731032 | ticker: LKOH | name: ЛУКОЙЛ
FIGI: BBG000RK52V1 | ticker: OGKB | name: Вторая генерирующая компания оптового рынка электроэнергии
FIGI: BBG000VFX6Y4 | ticker: GLTR | name: Globaltrans Investment PLC
FIGI: BBG002B9T6Y1 | ticker: KAZTP | name: КуйбышевАзот - Акции привилегированные
FIGI: BBG004S68BR5 | ticker: NMTP | name: НМТП
FIGI: BBG000QFH687 | ticker: TGKA | name: ТГК-1
FIGI: BBG0047315D0 | ticker: SNGS | name: Сургутнефтегаз
FIGI: BBG009GSYN76 | ticker: CBOM | name: МКБ
FIGI: BBG000RJWGC4 | ticker: AMEZ | name: Ашинский метзавод
FIGI: BBG000Q7GJ60 | ticker: TGKBP | name: ТГК-2 - акции привилегированные
FIGI: BBG002W2FT69 | ticker: ABRD | name: АбрауДюрсо
FIGI: BBG0027F0Y27 | ticker: CNTLP | name: Центральный Телеграф - акции привилегированные
FIGI: BBG004S68BH6 | ticker: PIKK | name: ПИК
FIGI: BBG004731354 | ticker: ROSN | name: Роснефть
FIGI: BBG004S68FR6 | ticker: MTLRP | name: Мечел - Привилегированные акции
FIGI: BBG004TC84Z8 | ticker: TRMK | name: Трубная Металлургическая Компания
FIGI: BBG000VKG4R5 | ticker: MRKU | name: МРСК Урала
FIGI: BBG000C7P5M7 | ticker: MRKY | name: МРСК Юга
FIGI: BBG002B2J5X0 | ticker: KRKNP | name: Саратовский НПЗ - акции привилегированные
FIGI: BBG00475K6C3 | ticker: CHMF | name: Северсталь
